report_number,title,incident_date,place   ,governorate,city/town,addess/description,description,categories,location,reporter_state,gender_harassed,age_harassed,age_reporter,age_harasser,intervention,incident_place_type,edu_harassed,edu_reporter,report_date_time
748,وأخرتها ايــــــــــــــه,04/24/2012 13:52,مدينة السلام ،موقف النزهة,القاهرة,القاهرة,مدينة السلام ،موقف النزهة,انا بركب كل يوم من موقف مواصلات اسمه موقف النزهة فى دخل الموقف فى ناس بتبيع حاجات وسواقين وركاب كل يوم اتعاكس هناك طبعا كل الكلام غير مقبول بس فى كلام بيبقا قليل الادب اوى لدرجة انى بقيت اعد كل يوم كام واحد هيعلق وكام واحد هيدافع عنى لقيت ان اقل عدد وثلتله هو 15 والموقف اللى مليان رجاله ده مفيهوش راجل واحد يقول عيب كده انت وهو ولا نقطة شرطة ومش عارفه اتصرف ازاى هقف ارد على دول كلهم وازعقلهم؟؟؟؟؟؟؟ بجد انا بقيت بكره خروجى وبقعد ادور على اى مكان تانى ادخل منه الموقف حتى لو فتحه صغيرة فى السور علشان مش اعدى من هنا,Comments,"30,04449,31,235695",,,,,,,,,,04/24/2012 17:03
747,Mobile Phone calls,04/24/2012 13:05,Egypt,,,Egypt,Repetitive mobile phone call from the same person after asking for Mr Mahmoud and found the number is wrong.,Phone calls,"30,044356,31,235847",,,,,,,,,,04/24/2012 15:06
746,اتوبيسات شارع البحر,04/24/2012 1:50,شارع البحر,الجيزة,الجيزة,شارع البحر,انا اتخنقت و توصلت لان التكسيات هي الحل,Touching,"30,044356,31,235847",,,,,,,,,,04/24/2012 3:53
745,طالبية الهرم,04/24/2012 0:24,"الطالبية , الهرم",الجيزة,الجيزة,"الطالبية , الهرم",من 3 سنين من ايام ما كنت باخد درس فالطالبية و لح دلوقتي وانا بتعرض لكل انواع التحرش فالمكان ده ..انا دلوقتي بقيت بعرف اتصرف واخد حقي بس زمان انا كان عندي عقده من المكان ده..اعتقد ان في بنات كتير اوي بتتعرض لنفس اللي بشوفه ..بس اكتر وقت بيحصل فيه كدا لما بتطلع مدارس بعد الظهر من  6-7 تقريبا اخر مره تحرشوا بيا كان من سنه تقريبا كنت ماشية انا و بنتين صحابي وكان المتحرشين اكتر من 10 .. انا بعت التقرير ده عشان شوفت النشاط اللي عملتوه في الضاهر  والجرافيتي اللي عالأرض,Touching,"30,044356,31,235847",,,,,,,,,,04/24/2012 0:51
744,سور نادي التوفيقية -شارع العلمين - المهندسين,04/23/2012 23:29,سور نادي التوفيقية,القاهرة,القاهرة,سور نادي التوفيقية,كم المتحرش بملاحقتي و تكتيفي من الخلف وإبراز عضوه الذكري,"Indecent exposure,Sexual invites,Stalking or following,Touching","30,055703,31,221632",,,,,,,,,,04/23/2012 23:40
743,المريوطية- الهرم,04/23/2012 23:12,موقف 28 - أخر مشعل- الهرم,الجيزة,الجيزة,موقف 28 - أخر مشعل- الهرم,لمس في المواصلات,Touching,"29,986758,31,142356",,,,,,,,,,04/23/2012 23:24
742,كشف عن اعضاء جسدية,04/22/2012 10:37,مجاورة 27,,,مجاورة 27,عند مفراق مجاورة 27 فى مدينة 15 مايو.. ده حصل الصبح بدرى جنب سور مدرسة هناك..واحد كان عامل نفسه بيتبول على السور ولما عدين اظهر عضوه وحركه قدامى,Indecent exposure,"29,829831,31,369649",,,,,,,,,,04/22/2012 10:40
741,كشف عن اعضاء جسدية,04/22/2012 10:31,Wadi Hof Metro Station,Cairo,Cairo,Wadi Hof Metro Station,بعد ما باب المترو قفل وانا كنت قاعدة جنب شباك واحد فتح سوستة البنطلون واظهر عضوه ليا,Indecent exposure,"29,848319,31,336853",,,,,,,,,,04/22/2012 10:37
740,touched in front of City Star,04/21/2012 13:44,city stars,Cairo,Cairo,city stars,A young man (approx 18 years old) touched my thigh with his hand. I hit him with my heavy bag and his friends laughed at him. He took the punishment for many other men that have done the same through out many years as a foreigner in Cairo.,Touching,"30,094824,31,360125",,,,,,,,,,04/21/2012 16:49
739,تحرش,04/19/2012 8:00,سور المريلاند,القاهرة,القاهرة,سور المريلاند,التعليق بكلام على اجزاءمن الجسد,"Comments,Ogling","30,070891,31,278118",,,,,,,,,,04/20/2012 22:19
738,mo3aksat alexandria,04/19/2012 13:16,الشاطبي-طريق الكورنيش,الإسكندرية,الإسكندرية,الشاطبي-طريق الكورنيش,"-3arabeyat to2afly wana wa2fa mestaneya arkab
-nazarat motawasla men ay 7ad m3addy fel share3 mahma kan senno w mahma kan shakly aw shakl elly m3aya
-mo7awalat madd el 2eed w bel a5ass men el shabab sa3'eer el senn (12-20)
-kalam safel w ta3lee2at 3an a3da2 el gesm b alfaz bazee2a w kalemat sooqeya
-mola7qa 3al ba7r w yemshy waraya fel share3 aw el nafa2","Catcalls,Comments,Facial expressions,Ogling,Stalking or following","31,245573,29,999309",,,,,,,,,,04/19/2012 19:00
737,مكالمات وقحة,04/05/2012 12:00,Cairo,Cairo,Cairo,,"يتصل بى شخص و يبعث الرسائل على هاتفى و هو يعرف من اكون و لكن لا اعلم من هو و يتحدث عن علاقة حب تجمعه بى و يعلم أنى مخطوبة فى رسائل يرسلها و يتصل و يصدر اصوات غريبة 
رقم تلفونة 
0112191....",Phone calls,"30,06263,31,24967",,,,,,,,,,04/18/2012 12:02
736,Groping in Tahrir square,01/25/2012 19:00,In centre of Tahrir square,Cairo,Cairo,In centre of Tahrir square,"During 25th Jan celebration, in Tahrir square a man grabbed my breast, despite me having 3 male friends surrounding me, and another man tried to grab my arm and encourage me to follow him through the crowds. Many men were ogling and creating a menacing atmosphere towards women in general that evening due to the huge numbers of (groups of) men present.","Facial expressions,Ogling,Touching","30,044097,31,235513",,,,,,,,,,04/17/2012 9:42
735,Guys trying to get me in car at Rehab,04/11/2012 13:13,Rehab City,Cairo,Cairo,Rehab City,"when walking home from mall 2 to 83rd group, it keeps happening that guys keep inviting me to their car","Sexual invites,Stalking or following","30,064276,31,488113",,,,,,,,,,04/11/2012 21:20
733,Maadi Rd. 85,04/10/2012 13:39,Maadi Rd. 85,Cairo,Cairo,Maadi Rd. 85,Constant crack calls,Phone calls,"29,987242,31,255306",,,,,,,,,,04/10/2012 18:44
732,تحرش بكل قطارات مصر,04/09/2012 1:54,كل قطارات مصر,,,كل قطارات مصر,"كل يوم بشوف 15 حاله تحرش ع الاقل ف مكان واحد ف وقت واحد داخل كل قطر 
http://www.facebook.com/AlmtalbtBrbtKhastLlsydatBqtaratMsr","Catcalls,Comments,Facial expressions,Ogling,Stalking or following,Touching","30,044356,31,235847",,,,,,,,,,04/09/2012 9:56
731,a Pharmacy,04/05/2012 22:00,Mohandessin - Mosaddak St. (المهندسين - ش مصدق),Giza,Giza,Mohandessin - Mosaddak St.,"Someone who claimed he was the owner said he was doing a ""checkup""","Indecent exposure,Touching","30,039043,31,203445",,,,,,,,,,04/06/2012 23:30
730,guy harassed me out of his car at Midan Lubnan,02/02/2012 20:04,midan lubnan,Giza,Giza,midan lubnan,I guy harassed me out of his car at Midan Lubnan just now and he even had a little girl with him in the car. Shameless,Catcalls,"30,058471,31,191216",,,,,,,,,,04/05/2012 21:54
729,Followed and touched by 10 year old boy,04/05/2012 13:13,"9 Osman Building, Maadi Corniche, Cairo, 11111 Egypt",Cairo,Cairo,"9 Osman Building, Maadi Corniche","This boy must have followed me to the building, then he pretended to' help' me find my way, I thought he was the baweb's son showing me to the right floor, but as he ' helpt me by wiping the 'dust' of my jacket and pants!! I realized this buy not older then 10 was harrassing me in a physical way!!","Stalking or following,Touching","29,994267,31,234609",,,,,,,,,,04/05/2012 18:45
728,حادثة تحرش بشارع المهراني بالظاهر,04/03/2012 18:21,شارع المهراني أمام محل طارق سند للأدوات الصحية,,,شارع المهراني أمام محل طارق سند للأدوات الصحية,"القصة قصة نانسي التي تعرضت لتحرش جنسي في شارع المهراني أمام محل أدوات صحية ""طارق سند"". لما رفضت نانسي التحرش تعرضت لضرب مبرح في الوجه من المتحرش الذي تواطءآخرين لتهريبه. قامت نانسي بعمل محضر في قسم شرطة الأزبكية برقم 3274/2012 وتم تحويلها لمستشفى الهلال لعمل التقرير الطبي. في الغد نظمنا إيفنت للذهاب للمكان وتخطيطه بالطلاء والإسبراي ""منطقة تحرش""","Comments,Ogling,Sexual invites,Stalking or following,Touching","30,053073,31,244007",,,,,,,,,,04/04/2012 2:12
727,Verbal harassment with a policeman,03/10/2012 21:00,"El Merghany street, near Vodafone",Cairo,Cairo,"El Merghany street, near Vodafone","3 men with a policeman, standing by the side of the road, shouted at me as I was about to cross the street, 'I love you Habibi!'.",Catcalls,"30,083429,31,326828",,,,,,,,,,04/01/2012 8:34
724,Phone call,03/25/2012 12:00,Cairo,Cairo,Cairo,,Some guy called me and send inappropriate texts          010-9154XXXX he kept calling for 3 hrs,Phone calls,"30,06263,31,24967",,,,,,,,,,03/25/2012 14:35
723,معاكسات تليفونية,03/24/2012 13:52,شارع المساحة,,,شارع المساحة,"Good day,

I'm receiving phone calls from two numbers as from yesterday which may be the same person,
the first number: 0106867XXXX on 24/03/2012
the second one  : 0101831XXXX 0n 23/03/2012

Thanks.",Phone calls,"30,037297,31,216149",,,,,,,,,,03/24/2012 15:57
722,report! Banha,03/23/2012 10:59,corniche,,,Banha corniche,I was heading back home and I guy walked to me and but his filthy hand on me and leave!!!!,Touching,"30,451991,31,17763",,,,,,,,,,03/23/2012 11:05
721,I just saw a group of guys act like dogs to 2 girls wearing hijab,03/22/2012 13:38,"opera, zamalek",Cairo,Cairo,"opera, zamalek",I just saw a group of guys act like dogs to 2 girls wearing hijab in #Cairo on my way to Zamalek (opera area).Disgusting! #egypt @harassmap,Catcalls,"30,043018,31,225805",,,,,,,,,,03/22/2012 19:39
720,"On adly st, in a car and a guy told me 'eih ya 3asaleya' then his friend apoligised to me and told him off",03/20/2012 19:59,adly st,Cairo,Cairo,adly st,"On adly st, in a car and a guy told me 'eih ya 3asaleya' then his friend apoligised to me and told him off. Hope? #endsh #harassmap",Catcalls,"30,050931,31,243572",,,,,,,,,,03/22/2012 19:32
719,Verbal harassment,03/10/2012 19:00,Ikbal street-El saray,,,Ikbal street-El saray,A young man in a nice car told he will stick something in my vagina. He said it in Arabic using very vulgar terms,Comments,"31,19806,29,91917",,,,,,,,,,03/22/2012 7:51
718,Bunch of guys 3ala kobry abbas w fil manial,02/13/2012 14:20,كبرى عباس,Cairo,Cairo,كبرى عباس,"walking home after being dropped off by the bus, two guys grabbed my ass, after crossing the other side of the bridge, catcalls started by other guys. then on my way across manial i was followed home.","Catcalls,Comments,Facial expressions,Ogling,Sexual invites,Stalking or following,Touching","30,015723,31,220827",,,,,,,,,,03/19/2012 15:32
717,Got followed by guys and then laughed at by taxi driver,03/17/2012 19:00,From Sh. Gehad to Midan Lubnan,Giza,Giza,From Sh. Gehad to Midan Lubnan,"Yesterday evening around 7pm two teenagers followed me over several streets until I escaped into a taxi. They shouted something in my taxi and the driver laughed with them. I got really angry and asked him why he thinks that it is funny and he should help me instead of supporting these idiots. I engaged in a long discussion with him and in the end he said, well if you dont want to be harassed why do you not wear the veil. He was in total denial of the whole situation and didnt believe me that also veiled women are getting harassed.","Comments,Ogling,Stalking or following","30,05966,31,19349",,,,,,,,,,03/18/2012 15:48
